id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
17,Dancin' Homer,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.    ,1990-11-08,7F05,Mark Kirkland,Ken Levine & David Isaacs,2,5,18,26.1,7.3,6.8,37
18,Dead Putting Society,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.    ",1990-11-15,7F08,Rich Moore,Jeff Martin,2,6,19,25.4,7.9,7.1,35
19,Bart vs. Thanksgiving,"On Thanksgiving, Bart runs away after fighting with Lisa.    ",1990-11-22,7F07,David Silverman,George Meyer,2,7,20,25.9,7.7,7.2,33
20,Bart the Daredevil,"After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder.    ",1990-12-06,7F06,Wes Archer,Jay Kogen & Wallace Wolodarsky,2,8,21,26.2,8.3,7.9,34
21,Itchy & Scratchy & Marge,"Marge becomes a crusader against cartoon violence after ""Itchy and Scratchy"" seemingly inspires Maggie to attack Homer.    ",1990-12-20,7F09,Jim Reardon,John Swartzwelder,2,9,22,22.2,8.1,7.7,34
22,Bart Gets Hit by a Car,"While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.    ",1991-01-10,7F10,Mark Kirkland,John Swartzwelder,2,10,23,24.8,7.7,7.5,32
23,"One Fish, Two Fish, Blowfish, Blue Fish","After apparently consuming poison blowfish, Homer is told that he only has 24 hours to live.    ",1991-01-24,7F11,Wes Archer,Nell Scovell,2,11,24,24.2,8.8,8.1,36
24,The Way We Was,Homer and Marge tell the story of how they met and fell in love in high school.    ,1991-01-31,7F12,David Silverman,"Al Jean, Mike Reiss & Sam Simon",2,12,25,26.8,8.2,7.9,31
25,Homer vs. Lisa and the 8th Commandment,"Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing.    ",1991-02-07,7F13,Rich Moore,Steve Pepoon,2,13,26,26.2,8.0,7.2,34
26,Principal Charming,"Homer tries to set Selma up with Principal Skinner, only for him to fall for Patty instead.    ",1991-02-14,7F15,Mark Kirkland,David M. Stern,2,14,27,23.9,7.4,6.8,29
27,"Oh Brother, Where Art Thou?","After Grampa is hospitalized, he reveals that Homer has a half-brother, and the family set out to find him.    ",1991-02-21,7F16,Wes Archer,Jeff Martin,2,15,28,26.8,8.3,7.3,33
28,Bart's Dog Gets an 'F',"After an uncontrollable Santa's Little Helper destroys several important Simpson possessions, Homer announces that he will be thrown out of the house unless he completes obedience training.    ",1991-03-07,7F14,Jim Reardon,Jon Vitti,2,16,29,23.9,7.4,6.9,33
29,Old Money,"After Grampa's new girlfriend dies and leaves him $106,000 in her will, he tries to decide what to do with it.    ",1991-03-28,7F17,David Silverman,Jay Kogen & Wallace Wolodarsky,2,17,30,21.2,7.6,7.2,29
30,Brush with Greatness,"After rekindling her artistic talents, Marge is commissioned to paint a portrait of Mr. Burns; Homer vows to lose weight after getting trapped in a water slide.    ",1991-04-11,7F18,Jim Reardon,Brian K. Roberts,2,18,31,20.6,7.9,7.4,30
31,Lisa's Substitute,Lisa has a crush on her substitute teacher; Bart decides to run for class president.    ,1991-04-25,7F19,Rich Moore,Jon Vitti,2,19,32,17.7,8.6,7.6,34
32,The War of the Simpsons,Homer must decide whether he should complete marriage counseling or skip out to catch a legendary catfish; Bart and Lisa take advantage of Grampa's ignorance of the house rules.    ,1991-05-02,7F20,Mark Kirkland,John Swartzwelder,2,20,33,19.7,7.8,7.2,29
33,Three Men and a Comic Book,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship.    ",1991-05-09,7F21,Wes Archer,Jeff Martin,2,21,34,21.0,8.3,7.7,29
34,Blood Feud,"After Bart saves Mr. Burns' life with a blood transfusion, Homer vows revenge when they receive only a ""thank you"" card as compensation.    ",1991-07-11,7F22,David Silverman,George Meyer,2,22,35,17.3,7.8,7.5,29
35,Stark Raving Dad,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.    ,1991-09-19,7F24,Rich Moore,Al Jean & Mike Reiss,3,1,36,22.9,8.6,7.9,31
36,Mr. Lisa Goes to Washington,"After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works.    ",1991-09-26,8F01,Wes Archer,George Meyer,3,2,37,20.2,7.7,7.3,28
37,When Flanders Failed,"After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out.    ",1991-10-03,7F23,Jim Reardon,Jon Vitti,3,3,38,22.8,8.2,7.0,29
38,Bart the Murderer,"After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears.    ",1991-10-10,8F03,Rich Moore,John Swartzwelder,3,4,39,20.8,8.6,7.6,29
39,Homer Defined,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident.    ",1991-10-17,8F04,Mark Kirkland,Howard Gewirtz,3,5,40,20.6,8.4,7.7,29
40,"Like Father, Like Clown",Bart and Lisa try to reunite Krusty the Clown with his father.    ,1991-10-24,8F05,Jeffrey Lynch & Brad Bird,Jay Kogen & Wallace Wolodarsky,3,6,41,20.2,7.6,7.3,31
41,Treehouse of Horror II,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot.    ",1991-10-31,8F02,Jim Reardon,Al Jean & Mike Reiss,3,7,42,20.0,8.2,7.3,30
42,Lisa's Pony,Homer buys Lisa a pony that the family can ill afford.    ,1991-11-07,8F06,Carlos Baeza,Al Jean & Mike Reiss,3,8,43,23.0,7.9,7.0,28
43,Saturdays of Thunder,"After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer.    ",1991-11-14,8F07,Jim Reardon,Ken Levine & David Isaacs,3,9,44,24.7,7.9,7.1,28
44,Flaming Moe's,"Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer.    ",1991-11-21,8F08,Rich Moore & Alan Smart,Robert Cohen,3,10,45,23.9,8.8,7.9,31
45,Burns Verkaufen der Kraftwerk,"Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off.    ",1991-12-05,8F09,Mark Kirkland,Jon Vitti,3,11,46,21.1,8.2,6.9,30
46,I Married Marge,"As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth.    ",1991-12-26,8F10,Jeffrey Lynch,Jeff Martin,3,12,47,21.9,8.3,7.7,27
47,Radio Bart,"After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well.    ",1992-01-09,8F11,Carlos Baeza,Jon Vitti,3,13,48,24.2,8.5,7.9,27
48,Lisa the Greek,Homer uses Lisa (and her prognostic skills) to help him bet on football games.    ,1992-01-23,8F12,Rich Moore,Jay Kogen & Wallace Wolodarsky,3,14,49,23.2,8.0,7.4,27
49,Homer Alone,"While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie.    ",1992-02-06,8F14,Mark Kirkland,David M. Stern,3,15,50,23.7,8.0,7.6,25
50,Bart the Lover,"After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad; Homer uses a swear jar to cut down on his cursing.    ",1992-02-13,8F16,Carlos Baeza,Jon Vitti,3,16,51,20.5,8.3,7.6,27
51,Homer at the Bat,"Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet.    ",1992-02-20,8F13,Jim Reardon,John Swartzwelder,3,17,52,24.6,8.7,7.4,30
52,Separate Vocations,"Lisa and Bart take an examination at the school that is supposed to determine what they will be when they grow up, but the kids are not so sure.    ",1992-02-27,8F15,Jeffrey Lynch,George Meyer,3,18,53,23.7,8.2,7.6,25
53,Dog of Death,"After the Simpsons regret paying for an expensive surgery for Santa's Little Helper, he runs away from home and is trained by Mr. Burns to become an attack dog.    ",1992-03-12,8F17,Jim Reardon,John Swartzwelder,3,19,54,23.4,7.7,6.9,26
54,Colonel Homer,"Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy.    ",1992-03-26,8F19,Mark Kirkland,Matt Groening,3,20,55,25.5,8.0,7.4,28
55,Black Widower,Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.    ,1992-04-09,8F20,David Silverman,Story by : Thomas Chastain & Sam SimonTeleplay by : Jon Vitti,3,21,56,17.3,8.3,7.5,29
56,The Otto Show,"After Otto loses his job as school bus driver because he does not have a license, Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet.    ",1992-04-23,8F21,Wes Archer,Jeff Martin,3,22,57,17.5,7.7,6.7,26
57,Bart's Friend Falls in Love,Bart becomes jealous when Milhouse falls in love with a new student named Samantha; Homer accidentally receives a vocabulary-building tape instead of a weight-loss one.    ,1992-05-07,8F22,Jim Reardon,Jay Kogen & Wallace Wolodarsky,3,23,58,19.5,7.7,6.8,27
58,"Brother, Can You Spare Two Dimes?","After Homer ""wins"" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back.    ",1992-08-27,8F23,Rich Moore,John Swartzwelder,3,24,59,17.2,8.2,7.3,28
59,Kamp Krusty,"Bart and Lisa attend ""Kamp Krusty"" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away.    ",1992-09-24,8F24,Mark Kirkland,David M. Stern,4,1,60,21.8,8.5,7.9,31
60,A Streetcar Named Marge,"Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner.    ",1992-10-01,8F18,Rich Moore,Jeff Martin,4,2,61,18.3,8.1,7.2,25
61,Homer the Heretic,"Homer decides to stay at home every Sunday while the rest of the family continues to attend church, and soon finds himself in an ominous situation.    ",1992-10-08,9F01,Jim Reardon,George Meyer,4,3,62,19.3,8.9,8.3,33
62,Lisa the Beauty Queen,Homer enters Lisa in the Little Miss Springfield pageant to build her self-esteem.    ,1992-10-15,9F02,Mark Kirkland,Jeff Martin,4,4,63,19.0,7.7,6.9,25
63,Treehouse of Horror III,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.    ,1992-10-29,9F04,Carlos Baeza,Al Jean & Mike Reiss,4,5,64,25.1,8.4,7.4,26
64,Itchy & Scratchy: The Movie,"With Bart continually getting in trouble, Homer bans him from seeing the new Itchy & Scratchy movie.    ",1992-11-03,9F03,Rich Moore,John Swartzwelder,4,6,65,20.1,8.2,7.8,28
65,Marge Gets a Job,"When Marge takes a job at the power plant, Mr. Burns falls in love with her; Bart ""cries wolf"" to avoid taking a test.    ",1992-11-05,9F05,Jeffrey Lynch,Bill Oakley & Josh Weinstein,4,7,66,22.9,7.8,7.2,26
66,New Kid on the Block,"Bart develops a crush on his new neighbor, only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out.    ",1992-11-12,9F06,Wes Archer,Conan O'Brien,4,8,67,23.1,8.2,7.4,25
67,Mr. Plow,"Homer opens a successful snow-plowing business, only to inspire Barney to start a rival outfit that puts him out of work.    ",1992-11-19,9F07,Jim Reardon,Jon Vitti,4,9,68,24.0,8.8,8.1,28
68,Lisa's First Word,"While trying to coax Maggie into saying her first word, Homer and Marge talk about how Lisa spoke hers.    ",1992-12-03,9F08,Mark Kirkland,Jeff Martin,4,10,69,28.6,8.7,7.9,29
69,Homer's Triple Bypass,"Years of poor eating habits catch up with Homer when he suffers a massive heart attack, but the family can't afford the triple bypass operation he needs.    ",1992-12-17,9F09,David Silverman,Gary Apple & Michael Carrington,4,11,70,23.6,8.6,7.8,28
70,Marge vs. the Monorail,"After receiving a considerable donation of money, Springfield builds a monorail system with Homer as the conductor, unaware they've just boarded a one-way train to Hell.    ",1993-01-14,9F10,Rich Moore,Conan O'Brien,4,12,71,23.0,9.1,8.2,32
71,Selma's Choice,"Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind.    ",1993-01-21,9F11,Carlos Baeza,David M. Stern,4,13,72,24.5,8.0,7.0,24
72,Brother from the Same Planet,"When Bart gets tired of Homer's horrible parenting skills, he enrolls in the ""Bigger Brother"" program where he's assigned a fantastic role model.    ",1993-02-04,9F12,Jeffrey Lynch,Jon Vitti,4,14,73,23.8,8.1,7.5,28
73,I Love Lisa,"Lisa gives Ralph a Valentine's card out of pity, but soon regrets it when he develops an unwanted crush on her.    ",1993-02-11,9F13,Wes Archer,Frank Mula,4,15,74,25.2,8.4,7.6,25
74,Duffless,"After Homer loses his license for DUI, Marge pressures him to give up beer for a month; Lisa attempts to prove that Bart is less intelligent than a hamster.    ",1993-02-18,9F14,Jim Reardon,David M. Stern,4,16,75,25.7,8.3,7.6,25
75,Last Exit to Springfield,"When Mr. Burns revokes the plant's dental plan, forcing Lisa to be fitted with cheap, ugly braces, Homer leads its union into going on strike.    ",1993-03-11,9F15,Mark Kirkland,Jay Kogen & Wallace Wolodarsky,4,17,76,22.4,9.0,7.7,29
76,So It's Come to This: A Simpsons Clip Show,"As Homer recovers in hospital due to Bart's disastrous April Fool's Day prank, the family reminiscences over earlier hardships.    ",1993-04-01,9F17,Carlos Baeza,Jon Vitti,4,18,77,25.5,7.0,6.7,23
77,The Front,"Bart and Lisa convince Grampa to let them use his name for episodes of ""Itchy and Scratchy"" they have written; Homer re-takes a test he failed in high school.    ",1993-04-15,9F16,Rich Moore,Adam I. Lapidus,4,19,78,20.1,8.1,7.4,28
78,Whacking Day,Marge home-schools Bart after he is expelled from Springfield Elementary; Lisa protests a barbaric local holiday centered around clubbing snakes to death.    ,1993-04-29,9F18,Jeffrey Lynch,John Swartzwelder,4,20,79,20.0,8.1,7.4,27
79,Marge in Chains,"A misunderstanding leads to Marge being imprisoned for shoplifting, with her absence soon descending the family, and eventually, the town into chaos.    ",1993-05-06,9F20,Jim Reardon,Bill Oakley & Josh Weinstein,4,21,80,17.3,7.7,6.9,25
80,Krusty Gets Kancelled,"When Krusty's show is canceled after losing viewers to a ventriloquist and his dummy, Bart and Lisa organize a celebrity-filled comeback special for their favorite Clown.    ",1993-05-13,9F19,David Silverman,John Swartzwelder,4,22,81,19.4,8.1,7.3,30
81,Homer's Barbershop Quartet,"After the kids find a record with Homer's picture on it, he recalls the story of how he achieved fame in the 1980s with his barbershop quartet, The Be Sharps.    ",1993-09-30,9F21,Mark Kirkland,Jeff Martin,5,1,82,19.9,8.5,8.0,33
82,Cape Feare,"After being released from prison on parole, Sideshow Bob plots to murder Bart.    ",1993-10-07,9F22,Rich Moore,Jon Vitti,5,2,83,20.0,9.2,8.6,33
83,Homer Goes to College,"When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college.    ",1993-10-14,1F02,Jim Reardon,Conan O'Brien,5,3,84,18.1,8.6,7.6,32
84,Rosebud,"After his birthday party goes wrong, Mr. Burns begins to want his childhood toy, a teddy bear named Bobo; Homer finds that Maggie is in possession of the doll.    ",1993-10-21,1F01,Wes Archer,John Swartzwelder,5,4,85,19.5,8.8,8.0,30
85,Treehouse of Horror IV,"Homer sells his soul to the Devil for a donut, Bart contends with a gremlin on the side of the school bus which only he can see, and the family discovers that Mr. Burns is a vampire.    ",1993-10-28,1F04,David Silverman,Conan O'Brien (wraparounds),5,5,86,24.0,8.8,7.7,30
86,Marge on the Lam,A girls' night out turns into a high speed chase when Marge learns her friend is driving a stolen car.    ,1993-11-04,1F03,Mark Kirkland,Bill Canterbury,5,6,87,21.7,8.0,7.3,26
87,Bart's Inner Child,"Brad Goodman, a self-help guru, encourages Springfield to act more like Bart, with disastrous results.    ",1993-11-11,1F05,Bob Anderson,George Meyer,5,7,88,18.7,7.6,7.0,26
88,Boy-Scoutz 'n the Hood,"After joining the Junior Campers while on a sugar high, Bart reluctantly invites Homer to accompany him on the group's annual father-son rafting trip, which soon goes awry.    ",1993-11-18,1F06,Jeffrey Lynch,Dan McGrath,5,8,89,20.1,8.6,7.9,30
89,The Last Temptation of Homer,Homer's marriage is in trouble when he develops an attraction to a new co-worker; Bart undergoes medical treatments that make him look like a nerd.    ,1993-12-09,1F07,Carlos Baeza,Frank Mula,5,9,90,20.6,8.5,7.6,27
90,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)","Mr. Burns builds a casino when Springfield decides to legalize gambling, with Marge becoming addicted to the slot machines.    ",1993-12-16,1F08,Wes Archer,Bill Oakley & Josh Weinstein,5,10,91,17.9,8.6,7.8,29
91,Homer the Vigilante,An outbreak of burglaries inspires Homer to lead a vigilante group.    ,1994-01-06,1F09,Jim Reardon,John Swartzwelder,5,11,92,20.1,8.2,7.5,25
92,Bart Gets Famous,"Bart becomes an overnight sensation as the ""I didn't do it"" boy on Krusty the Clown's show.    ",1994-02-03,1F11,Susie Dietter,John Swartzwelder,5,12,93,20.0,8.1,7.3,27
93,Homer and Apu,Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food; James Woods takes over the Kwik-E-Mart.    ,1994-02-10,1F10,Mark Kirkland,Greg Daniels,5,13,94,21.8,8.2,7.1,24
94,Lisa vs. Malibu Stacy,"Angered by the vacuous phrases her Malibu Stacy doll utters, Lisa works with Malibu Stacy's original designer to create a doll with admirable traits.    ",1994-02-17,1F12,Jeffrey Lynch,Bill Oakley & Josh Weinstein,5,14,95,19.9,8.1,7.3,26
95,Deep Space Homer,"In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task.    ",1994-02-24,1F13,Carlos Baeza,David Mirkin,5,15,96,18.2,8.8,8.2,31
96,Homer Loves Flanders,"After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him.    ",1994-03-17,1F14,Wes Archer,David Richardson,5,16,97,18.0,8.5,7.6,24
97,Bart Gets an Elephant,"After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it.    ",1994-03-31,1F15,Jim Reardon,John Swartzwelder,5,17,98,17.0,7.8,7.2,26
98,Burns' Heir,"After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature.    ",1994-04-14,1F16,Mark Kirkland,Jace Richdale,5,18,99,14.7,8.3,7.4,26
99,Sweet Seymour Skinner's Baadasssss Song,"Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement.    ",1994-04-28,1F18,Bob Anderson,Bill Oakley & Josh Weinstein,5,19,100,19.7,8.3,7.9,27
100,The Boy Who Knew Too Much,"Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences.    ",1994-05-05,1F19,Jeffrey Lynch,John Swartzwelder,5,20,101,15.5,8.3,7.2,27
101,Lady Bouvier's Lover,"Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart.    ",1994-05-12,1F21,Wes Archer,Bill Oakley & Josh Weinstein,5,21,102,15.1,7.5,6.8,23
102,Secrets of a Successful Marriage,"Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge.    ",1994-05-19,1F20,Carlos Baeza,Greg Daniels,5,22,103,15.6,8.0,7.0,23
103,Bart of Darkness,"Confined to his room with a broken leg, Bart suspects Ned Flanders of murdering Maude; the family's new swimming pool earns Lisa popularity among the neighborhood kids.    ",1994-09-04,1F22,Jim Reardon,Dan McGrath,6,1,104,15.1,8.7,7.414,29
104,Lisa's Rival,Lisa is jealous when a new girl in class is smarter than she is; Homer obtains a giant mound of sugar.    ,1994-09-11,1F17,Mark Kirkland,Mike Scully,6,2,105,16.7,8.1,6.9,26
105,Another Simpsons Clip Show,The family recalls past tales of lost love.    ,1994-09-25,2F33,David Silverman,Jon Vitti,6,3,106,13.5,5.8,6.0,20
106,Itchy & Scratchy Land,A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.    ,1994-10-02,2F01,Wes Archer,John Swartzwelder,6,4,107,14.8,8.6,7.8,27
107,Sideshow Bob Roberts,"When Sideshow Bob is released from prison and is elected Mayor of Springfield, Bart and Lisa suspect foul play and are determined to expose his corruption.    ",1994-10-09,2F02,Mark Kirkland,Bill Oakley & Josh Weinstein,6,5,108,14.4,8.2,7.2,25
108,Treehouse of Horror V,The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.    ,1994-10-30,2F03,Jim Reardon,Bob Kushell,6,6,109,22.2,9.2,8.2,25
109,Bart's Girlfriend,Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.    ,1994-11-06,2F04,Susie Dietter,Jonathan Collier,6,7,110,15.3,8.0,7.0,26
110,Lisa on Ice,Sibling rivalry between Bart and Lisa ensues when they become the star players of their respective ice hockey teams.    ,1994-11-13,2F05,Bob Anderson,Mike Scully,6,8,111,17.9,8.6,7.4,25
111,Homer Badman,Homer accidentally lands himself in trouble with the law and with the kids' babysitter after stealing a gummy replica at a candy convention.    ,1994-11-27,2F06,Jeff Lynch,Greg Daniels,6,9,112,15.5,8.9,8.3,26
112,Grampa vs. Sexual Inadequacy,Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.    ,1994-12-04,2F07,Wes Archer,Bill Oakley & Josh Weinstein,6,10,113,14.1,8.0,7.3,24
113,Fear of Flying,Marge goes into therapy to cure her of her traumatizing fear of flying.    ,1994-12-18,2F08,Mark Kirkland,David Sacks,6,11,114,15.6,7.7,7.2,24
114,Homer the Great,"Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as ""the chosen one"".    ",1995-01-08,2F09,Jim Reardon,John Swartzwelder,6,12,115,20.1,9.0,8.1,28
115,And Maggie Makes Three,Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.    ,1995-01-22,2F10,Swinton O. Scott III,Jennifer Crittenden,6,13,116,17.3,8.8,7.7,29
116,Bart's Comet,Bart discovers a comet that is on a collision course with Springfield.    ,1995-02-05,2F11,Bob Anderson,John Swartzwelder,6,14,117,18.7,8.6,7.9,25
117,Homie the Clown,"Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia.    ",1995-02-12,2F12,David Silverman,John Swartzwelder,6,15,118,17.5,8.6,7.5,24
118,Bart vs. Australia,"In order to prove that toilets flush the opposite direction in Australia, Bart makes a prank call that ends up costing the recipient $900, Bart must apologize.    ",1995-02-19,2F13,Wes Archer,Bill Oakley & Josh Weinstein,6,16,119,15.1,8.5,7.5,27
119,Homer vs. Patty and Selma,"Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet.    ",1995-02-26,2F14,Mark Kirkland,Brent Forrester,6,17,120,18.9,7.8,7.1,25
120,A Star Is Burns,"The citizens of Springfield host their own film festival, with popular movie critic Jay Sherman arriving from New York to judge.    ",1995-03-05,2F31,Susie Dietter,Ken Keeler,6,18,121,14.4,8.5,8.0,27
121,Lisa's Wedding,A fortune teller gives Lisa a look at her wedding in the year 2010.    ,1995-03-19,2F15,Jim Reardon,Greg Daniels,6,19,122,14.9,8.3,7.4,26
122,Two Dozen and One Greyhounds,"Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat.    ",1995-04-09,2F18,Bob Anderson,Mike Scully,6,20,123,11.6,8.1,7.2,25
